2026-08-12	solar	Total solar eclipse	n N. America, w Africa, Europe [Total: Arctic, Greenland, Iceland, Spain]
2026-08-28	lunar	Partial lunar eclipse	e Pacific, Americas, Europe, Africa
2027-02-06	solar	Annular solar eclipse	S. America, Antarctica, w & s Africa [Annular: Chile, Argentina, Atlantic]
2027-02-20	lunar	Penumbral lunar eclipse	Americas, Europe, Africa, Asia
2027-07-18	lunar	Penumbral lunar eclipse	e Africa, Asia, Australia, Pacific
2027-08-02	solar	Total solar eclipse	Africa, Europe, Mid East, w & s Asia [Total: Morocco, Spain, Algeria, Libya, Egypt, Saudi Arabia, Yemen, Somalia]
2027-08-17	lunar	Penumbral lunar eclipse	Pacific, Americas
2028-01-12	lunar	Partial lunar eclipse	Americas, Europe, Africa
2028-01-26	solar	Annular solar eclipse	e N. America, C. & S. America, w Europe, nw Africa [Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal]
2028-07-06	lunar	Partial lunar eclipse	Europe, Africa, Asia, Australia
2028-07-22	solar	Total solar eclipse	SE Asia, E. Indies, Australia, N.Z. [Total: Australia, N.Z.]
2028-12-31	lunar	Total lunar eclipse	Europe, Africa, Asia, Australia, Pacific
2029-01-14	solar	Partial solar eclipse	N. America, C. America
2029-06-12	solar	Partial solar eclipse	Arctic, Scandinavia, Alaska, n Asia, n Canada
2029-06-26	lunar	Total lunar eclipse	Americas, Europe, Africa, Mid East
2029-07-11	solar	Partial solar eclipse	s Chile, s Argentina
2029-12-05	solar	Partial solar eclipse	s Argentina, s Chile, Antarctica
2029-12-20	lunar	Total lunar eclipse	Americas, Europe, Africa, Asia
2030-06-01	solar	Annular solar eclipse	Europe, n Africa, Mid East, Asia, Arctic, Alaska [Annular: Algeria, Tunisia, Greece, Turkey, Russia, n. China, Japan]
2030-06-15	lunar	Partial lunar eclipse	Europe, Africa, Asia, Australia
2030-11-25	solar	Total solar eclipse	s Africa, s Indian Oc., E. Indies, Australia, Antarctica [Total: Botswana, S. Africa, Australia]
2030-12-09	lunar	Penumbral lunar eclipse	Americas, Europe, Africa, Asia
2031-05-07	lunar	Penumbral lunar eclipse	Americas, Europe, Africa
2031-05-21	solar	Annular solar eclipse	Africa, s Asia, E. Indies, Australia [Annular: Angola, Congo, Zambia, Tanzania, s. India, Malaysia, Indonesia]
2031-06-05	lunar	Penumbral lunar eclipse	East Indies, Australia, Pacific
2031-10-30	lunar	Penumbral lunar eclipse	Americas
2031-11-14	solar	Hybrid solar eclipse	Pacific, s US, C. America, nw S. America [Hybrid: Pacific, Panama]
2032-04-25	lunar	Total lunar eclipse	e Africa, Asia, Australia, Pacific
2032-05-09	solar	Annular solar eclipse	s S. America, s Africa [Annular: s Atlantic]
2032-10-18	lunar	Total lunar eclipse	Africa, Europe, Asia, Australia
2032-11-03	solar	Partial solar eclipse	Asia
